iter	Passed	Remaining
0	149	37239
1	154	19200
2	176	14523
3	181	11133
4	185	9083
5	191	7775
6	196	6823
7	201	6095
8	206	5524
9	210	5063
10	216	4700
11	221	4392
12	225	4114
13	229	3873
14	235	3684
15	239	3506
16	244	3349
17	249	3214
18	254	3090
19	259	2980
20	264	2888
21	269	2795
22	274	2707
23	280	2636
24	284	2564
25	289	2496
26	295	2437
27	300	2379
28	304	2323
29	310	2273
30	314	2224
31	319	2177
32	325	2137
33	329	2095
34	334	2056
35	340	2026
36	346	1994
37	352	1964
38	359	1943
39	365	1916
40	370	1890
41	376	1864
42	382	1839
43	387	1815
44	393	1791
45	399	1771
46	404	1748
47	411	1730
48	416	1709
49	422	1688
50	427	1669
51	433	1650
52	438	1631
53	444	1612
54	449	1593
55	455	1577
56	461	1562
57	467	1546
58	473	1532
59	478	1516
60	484	1502
61	491	1489
62	496	1474
63	502	1461
64	508	1447
65	514	1433
66	519	1420
67	525	1407
68	531	1395
69	537	1382
70	543	1369
71	549	1358
72	555	1346
73	560	1334
74	566	1321
75	572	1309
76	577	1297
77	582	1285
78	588	1273
79	594	1263
80	599	1250
81	605	1240
82	610	1228
83	615	1217
84	621	1207
85	627	1196
86	632	1185
87	638	1175
88	643	1164
89	649	1154
90	654	1143
91	659	1133
92	665	1122
93	670	1112
94	675	1102
95	681	1093
96	686	1082
97	691	1072
98	697	1063
99	701	1052
100	707	1043
101	712	1034
102	717	1024
103	723	1015
104	728	1006
105	733	997
106	740	989
107	746	981
108	752	973
109	758	965
110	763	956
111	770	948
112	775	940
113	780	931
114	786	923
115	791	914
116	796	905
117	802	897
118	807	889
119	813	881
120	818	872
121	824	864
122	829	856
123	835	848
124	840	840
125	846	832
126	851	824
127	856	816
128	861	808
129	866	800
130	872	792
131	878	785
132	883	777
133	889	770
134	895	762
135	900	754
136	906	747
137	911	739
138	916	732
139	922	724
140	927	717
141	933	710
142	939	702
143	944	695
144	950	688
145	955	680
146	960	672
147	966	666
148	972	658
149	977	651
150	983	644
151	988	637
152	994	630
153	1000	623
154	1006	616
155	1012	609
156	1017	602
157	1023	596
158	1029	589
159	1034	582
160	1040	575
161	1045	568
162	1051	561
163	1056	554
164	1062	547
165	1068	540
166	1073	533
167	1079	527
168	1085	520
169	1091	513
170	1096	506
171	1102	499
172	1108	493
173	1114	486
174	1120	480
175	1125	473
176	1132	466
177	1137	460
178	1143	453
179	1149	447
180	1156	440
181	1162	434
182	1167	427
183	1174	421
184	1179	414
185	1184	407
186	1190	400
187	1195	394
188	1200	387
189	1206	380
190	1211	374
191	1231	372
192	1237	365
193	1241	358
194	1248	352
195	1253	345
196	1258	338
197	1263	331
198	1269	325
199	1275	318
200	1280	312
201	1285	305
202	1291	299
203	1296	292
204	1302	285
205	1308	279
206	1313	272
207	1318	266
208	1324	259
209	1330	253
210	1335	246
211	1341	240
212	1346	233
213	1352	227
214	1357	221
215	1363	214
216	1368	208
217	1374	201
218	1380	195
219	1385	188
220	1391	182
221	1398	176
222	1405	170
223	1411	163
224	1417	157
225	1422	151
226	1427	144
227	1432	138
228	1438	131
229	1443	125
230	1448	119
231	1454	112
232	1460	106
233	1466	100
234	1473	94
235	1478	87
236	1484	81
237	1490	75
238	1495	68
239	1501	62
240	1506	56
241	1513	50
242	1519	43
243	1525	37
244	1531	31
245	1536	24
246	1542	18
247	1548	12
248	1555	6
249	1562	0
